model_type,data,route,MAE_test,MSE_test,RMSE_test,MAPE_test,R2_test,5_fold_cv_MAE,MAE_actual_vs_planned,MAPE_actual_vs_planned
MLP,test,46A_74,378.66045802775244,235984.7322357465,485.78259770780846,0.08836733256093086,0.5792793605889711,394.44680364947476,443.97076867556837,0.09976953348387757
MLP,test,46A_67,421.88059538000715,289437.4455496291,537.993908468887,0.0924398627109254,0.5732394740076734,438.2520852102787,546.1009096877051,0.1121597960233152
MLP,test,145_102,377.2720777075916,231418.18980777098,481.05944519131,0.07575038671363361,0.6053966475284288,390.6966166441456,505.27472148845754,0.09660186825021005
MLP,test,15_17,478.59454965494956,387674.1692567795,622.634860296771,0.09391883984586698,0.4147139236418196,495.9971982900108,594.6584298888627,0.1109778065416222
MLP,test,145_105,480.2654938576485,356640.9522691346,597.1942332852308,0.09186803063580837,0.5643577994823362,480.18214356030967,723.3649169275222,0.12892109317685108
MLP,test,40_31,424.5557647405399,293296.6980252937,541.568738042821,0.07764530398277607,0.5801622858404878,441.1015773300343,523.5970709271363,0.0914762922448959
MLP,test,39A_43,381.6088741967499,238235.36807347598,488.0936058518652,0.07655696303533972,0.5459111298862349,390.11246542164025,522.7417421091264,0.0995192313031319
MLP,test,130_11,187.62214903169453,56835.068785350406,238.401067080981,0.1022756198029384,0.4752870455468632,189.40313591678668,227.70128110372013,0.11679066260742799
MLP,test,40_27,431.7996465149249,302087.7729545285,549.6251203816366,0.07608473200388806,0.6101227354642611,455.9745546906064,532.6732710280373,0.0905736792543658
MLP,test,130_10,144.3163180491659,33720.76132346192,183.63213586804986,0.08102009619695541,0.5432856321873765,146.67272702164115,204.47114895780376,0.10756219567885458
MLP,test,39A_40,391.58526717929965,256069.14125316634,506.0327472142157,0.07204349080346889,0.6869361573945946,412.81443685805743,743.1239436619718,0.12983896316160284
MLP,test,27_19,461.0330048463004,351733.638388647,593.0713602836062,0.07646522168200379,0.6052763892666857,473.47288749527434,629.3153377630122,0.09890124459252132
MLP,test,123_36,322.0399114850918,172108.21854175697,414.8592755884301,0.09064472546706955,0.5197418744221511,333.69197116202804,398.7688993885492,0.10680723757005535
MLP,test,16_24,440.0481481512607,314167.70040681306,560.5066461754161,0.08038154089891845,0.5093269946688601,459.249753781918,573.3250753985351,0.0993053632980019
MLP,test,123_34,323.8868958895021,173163.08573995536,416.1286889172091,0.09263442100469567,0.54103846916551,336.4745654186202,377.41162431559735,0.10339912099109876
MLP,test,27_17,513.3227652470227,419215.02878672257,647.4681681648316,0.08496626056055998,0.49715356127472765,524.1175624789763,674.2375840847288,0.10493908838289741
MLP,test,15_16,598.7689744212132,529914.7618367256,727.9524447632041,0.11277227336072115,0.3782732710234138,600.7529169767449,867.431767996467,0.14725851241579554
MLP,test,140_19,279.50974487474065,127562.96508989514,357.15957930579873,0.07911281978327914,0.5049824934787719,292.8830862751667,349.70190078813164,0.09522334079058752
MLP,test,16_20,434.86721436893384,307353.24595814414,554.394485865565,0.08115631548921713,0.572509551077707,451.1019938465803,511.78534278959813,0.09051913162628682
MLP,test,9_7,390.8677088941508,253765.40763008027,503.7513351149357,0.08680554696104764,0.4807249657609707,402.05142832491237,459.5128772317902,0.09542095038103349
MLP,test,9_5,363.8094057354714,225086.79640437302,474.43313164699305,0.0770207216055029,0.6134037740043441,392.1680015806992,475.24511657214873,0.09613618279425223
MLP,test,140_21,456.2335539294161,337749.713679177,581.1623815072488,0.11766685302781633,0.2990866491724855,459.27187066842373,567.9416850313612,0.13504947199587589
MLP,test,14_15,398.4892329097133,264886.1318233717,514.6708966158585,0.08420276977951004,0.5693442729543887,408.5221589630506,476.34005869405723,0.09587027990667217
MLP,test,14_16,385.25412219176314,244436.62203273375,494.405321606406,0.08077317540548615,0.5694114032404571,389.5783208828182,465.6855728968405,0.09377242921659784
MLP,test,4_10,359.9451657038359,216886.47690840796,465.71072234640246,0.0835382132940763,0.5971930778635579,373.8968150455837,449.577668059248,0.09939039792579166
MLP,test,37_15,300.2762546142584,148827.01889514574,385.78105046145765,0.07811763264054025,0.5074432517698504,309.8998260074865,381.41584158415844,0.0961564430188021
MLP,test,15B_60,436.9973095180811,308916.58779663104,555.8026518438276,0.13387259884069477,0.39098055035182777,439.2248986020084,513.5402919416117,0.14076145872448242
