route,direction,hl_size,alpha,lr_init,MAE_cv
46A_74,1,"(110,)",0.4,0.05,400.2708812
46A_67,2,"(110,)",0.8,0.05,447.172525
145_102,1,"(130,)",0.8,0.04,401.8831768
15_17,2,"(90,)",0.7,0.05,512.4584191
145_105,2,"(140,)",0.6,0.04,488.5487719
40_31,2,"(140,)",0.6,0.05,455.915099
39A_43,2,"(100,)",0.8,0.07,398.3685755
130_11,2,"(100,)",0.6,0.04,193.7691365
40_27,1,"(130,)",0.6,0.07,466.458013
130_10,1,"(130,)",0.7,0.03,145.3090019
39A_40,1,"(130,)",0.6,0.06,422.8324309
27_19,1,"(100,)",0.6,0.06,489.2666713
123_36,2,"(120,)",0.7,0.05,334.4161089
16_24,2,"(120,)",0.8,0.06,458.7960709
123_34,1,"(120,)",0.8,0.04,338.7380594
27_17,2,"(120,)",0.4,0.06,526.0040531
15_16,1,"(110,)",0.5,0.05,616.5305845
140_19,1,"(140,)",0.6,0.04,294.4579713
16_20,1,"(120,)",0.8,0.05,471.9199276
9_7,2,"(100,)",0.8,0.06,404.1411301
9_5,1,"(100,)",0.8,0.04,401.4952182
140_21,2,"(120,)",0.4,0.05,457.9818256
14_15,1,"(90,)",0.6,0.06,403.9073162
14_16,2,"(140,)",0.6,0.04,405.8977196
4_10,1,"(120,)",0.4,0.05,381.9355291
37_15,2,"(120,)",0.7,0.06,306.6034908
15B_60,1,"(90,)",0.7,0.07,437.778454
29A_15,2,"(110,)",0.6,0.05,230.3824242
37_14,1,"(120,)",0.8,0.06,386.3830654
15A_83,1,"(80,)",0.5,0.05,252.2115501
29A_14,1,"(80,)",0.4,0.05,209.0806488
41_7,2,"(120,)",0.6,0.05,335.3651894
4_12,2,"(120,)",0.8,0.06,410.5865172
150_8,1,"(130,)",0.6,0.03,225.1245119
25A_270,2,"(120,)",0.7,0.05,282.5873838
1_40,2,"(80,)",0.5,0.05,306.6228045
83_16,1,"(140,)",0.5,0.05,434.3545647
25B_271,2,"(110,)",0.8,0.06,297.813055
27B_23,1,"(130,)",0.8,0.05,265.3502379
1_37,1,"(130,)",0.7,0.05,280.489198
25A_273,1,"(140,)",0.4,0.05,275.09019
41_3,1,"(80,)",0.5,0.06,295.0169783
25B_274,1,"(140,)",0.7,0.06,272.2662514
83_22,2,"(80,)",0.5,0.07,451.8978905
151_17,2,"(130,)",0.6,0.05,314.3349482
150_9,2,"(140,)",0.8,0.05,237.3356738
77A_28,2,"(140,)",0.6,0.04,384.3584051
11_42,2,"(120,)",0.4,0.05,385.9843941
18_3,1,"(70,)",0.4,0.07,393.9894079
15B_61,2,"(120,)",0.5,0.06,312.8248885
39_21,2,"(140,)",0.8,0.04,428.0046689
77A_29,1,"(140,)",0.6,0.06,427.2292292
11_40,1,"(90,)",0.8,0.06,542.6665095
41C_78,1,"(140,)",0.7,0.05,335.5242271
18_4,2,"(140,)",0.7,0.04,380.6557573
